编号,原位置,原表达或锚点,处理,修后表达或操作,状态,验证,源码,修后锚点
COPY-20,CustomerExperienceAnalyticsPanel.tsx,不代表由本次推荐造成,保留并简化,保留因果限制，用“同桌后续付款不代表本次推荐促成”表达,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx:247,同桌后续付款和后续同品复购不代表本次推荐促成
COPY-21,CustomerExperienceManagementPanel.tsx,每多少分消费,改交互,每消费多少元,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/CustomerExperienceManagementPanel.tsx:1095,<BusinessRatioFields
COPY-22,CustomerExperienceManagementPanel.tsx,请输入 ISO 格式,改交互,改用北京时间日期与时间选择器,已调整并核对,统一北京时间转换单测、日期选择器、SYS-301 七类发布界面,src/normalized-ui/CustomerExperienceManagementPanel.tsx:409,inputType: 'datetime-local'
COPY-23,AnnualBenefitManagementPanel.tsx,使用 ISO 格式,改交互,改用北京时间日期与时间选择器,已调整并核对,统一北京时间转换单测、日期选择器、SYS-301 七类发布界面,src/normalized-ui/AnnualBenefitManagementPanel.tsx:168,inputType:'datetime-local'
COPY-24,CustomerExperienceManagementPanel.tsx,客户端勾选,替换并修复导航,前往规则审批，查看影响后由其他管理者审核。,已调整并核对,SYS-289 实际创建草稿后定位；预览有效时间保留,src/normalized-ui/CustomerExperienceManagementPanel.tsx:403,openMembershipConfiguration(
COPY-25,CustomerExperienceManagementPanel.tsx,服务端持久化的限时影响预览,替换,请先查看本次修改对会员和成本的影响，再审批。,已调整并核对,SYS-289 实际创建草稿后定位；预览有效时间保留,src/normalized-ui/MembershipConfigurationCenterPanel.tsx:117,前有效
COPY-26,CustomerExperienceManagementPanel.tsx,生效运行完全使用强类型规则,替换,已发布规则及生效时间,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceManagementPanel.tsx:451,已发布规则及生效时间
COPY-27,CustomerExperienceManagementPanel.tsx,终态记录不能直接改回可用,替换,已完成或已取消的记录不能直接恢复使用。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceManagementPanel.tsx:216,已完成或已取消的记录不能直接恢复使用。
COPY-28,CustomerExperienceManagementPanel.tsx,及对应商品、活动、服务或权益事实,替换,交付已登记，可在记录中查看商品、活动或权益明细。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceManagementPanel.tsx:886,交付已登记，可在记录中查看商品、活动或权益明细。
COPY-29,CustomerExperienceManagementPanel.tsx,config?.control.state,枚举翻译,关闭 / 试点开放 / 正式开放 / 已暂停,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceManagementPanel.tsx:947,"disabled:'关闭',pilot:'试点开放',enabled:'正式开放',paused:'已暂停'"
COPY-30,CustomerExperienceManagementPanel.tsx,SILVER_WELCOME,改交互,编号自动生成；使用已有权益名称和适用等级识别，避免新增重复名称字段。,已调整并核对,可读输入控件及自动编号源码核对；历史编号字段仍保留,src/normalized-ui/CustomerExperienceManagementPanel.tsx:437,规则编号自动生成，以所选权益名称和适用等级识别。
COPY-31,AnnualBenefitManagementPanel.tsx,所有终态动作均复验桌台权限并写审计,替换,自动重试已停止，请选择重新派发、取消，或登记线下补偿。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/AnnualBenefitManagementPanel.tsx:348,自动重试已停止，请选择重新派发、取消，或凭真实凭据登记线下补偿。
COPY-32,AnnualBenefitManagementPanel.tsx,item.benefitKind,枚举翻译,显示权益类型中文名称,已调整并核对,源码与既有文案契约核对,src/normalized-ui/AnnualBenefitManagementPanel.tsx:324,benefitKindLabel(item.benefitKind)
COPY-33,AnnualBenefitManagementPanel.tsx,GOLD_BIRTHDAY,改交互,生日礼遇名称由员工填写，规则编号自动生成,已调整并核对,可读输入控件及自动编号源码核对；历史编号字段仍保留,src/normalized-ui/AnnualBenefitManagementPanel.tsx:320,规则编号自动生成，请填写顾客能看懂的礼遇名称。
COPY-34,PromotionalLoyaltyPanel.tsx,权威活动事实,替换,核对活动付款、签到和完成记录,已调整并核对,源码与既有文案契约核对,src/normalized-ui/PromotionalLoyaltyPanel.tsx:171,核对活动付款、签到和完成记录
COPY-35,PromotionalLoyaltyPanel.tsx,条触发事实因总闸暂停待处理,替换,保留待处理奖励数量；增加积分发放开关入口，由授权管理者恢复后自动补算。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/PromotionalLoyaltyPanel.tsx:129,查看积分发放开关与恢复入口
COPY-36,BottleCustodyPanel.tsx,扩展录入字段,替换,自定义登记项目,已调整并核对,源码与既有文案契约核对,src/normalized-ui/BottleCustodyPanel.tsx:66,自定义登记项目
COPY-37,BottleCustodyPanel.tsx,字段编号,改交互,项目编号自动生成,已调整并核对,可读输入控件及自动编号源码核对；历史编号字段仍保留,src/normalized-ui/BottleCustodyPanel.tsx:66,项目编号自动生成
COPY-38,BottleCustodyPanel.tsx,字段名称,替换,项目名称,已调整并核对,源码与既有文案契约核对,src/normalized-ui/BottleCustodyPanel.tsx:66,<label>项目名称
COPY-39,BottleCustodyPanel.tsx,字段类型,替换,填写方式,已调整并核对,源码与既有文案契约核对,src/normalized-ui/BottleCustodyPanel.tsx:66,<label>填写方式
COPY-40,CustodyReportPanel.tsx,r.status,枚举翻译,在存 / 已取走待处理 / 已归档等业务状态,已调整并核对,SYS-299 全部报表状态渲染；PostgreSQL 生成并解析实际 XLSX,src/normalized-ui/CustodyReportPanel.tsx:17,businessStatus(r.status
COPY-41,CustodyReportPanel.tsx,r.amount_basis,保留,保留接口现有中文口径；登记价值和消费应付都不标成实收。,已核对保留,SYS-299 全部报表状态渲染；PostgreSQL 生成并解析实际 XLSX,src/normalized-ui/CustodyReportPanel.tsx:17,r.amount_basis
COPY-42,CustodyReportPanel.tsx,s.currency,替换,人民币（元）,已调整并核对,SYS-299 全部报表状态渲染；PostgreSQL 生成并解析实际 XLSX,src/normalized-ui/CustodyReportPanel.tsx:16,businessCurrency(s.currency)
COPY-43,OperatingHistoryPanel.tsx,权限由服务端校验,简化,查看历史记录不会增加退款或打印权限。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OperatingHistoryPanel.tsx:88,查看历史记录不会增加退款或打印权限。
COPY-44,OperatingHistoryPanel.tsx,打印时读取最新快照,替换,打印使用当时最新金额，后续到账可能改变金额。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OperatingHistoryPanel.tsx:109,打印使用当时最新金额，后续到账可能改变金额。
COPY-45,OperatingHistoryPanel.tsx,全部导出使用同一账务快照,替换,本次导出按同一查询时点统计；最多5000单，超出请缩小范围。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OperatingHistoryPanel.tsx:128,本次导出按同一查询时点统计；最多5000单，超出请缩小范围。
COPY-46,OrderBillPrintButton.tsx,生成新的金额快照和新票,替换,再次打印会按最新金额生成新票，请先确认上一张结果。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OrderBillPrintButton.tsx:43,再次打印会按最新金额生成新票，请先确认上一张结果。
COPY-47,OrderBillPrintButton.tsx,receipt.requestId,折叠,打印记录编号放在详情，可复制给管理员排查,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OrderBillPrintButton.tsx:43,navigator.clipboard.writeText(receipt.requestId)
COPY-48,OrderStockReturnForm.tsx,pending.recordId,折叠,退库记录详情,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OrderStockReturnForm.tsx:42,<details><summary>退库记录详情</summary>
COPY-49,OwnerFinancePanel.tsx,基本工资由服务端,简化,基本工资按薪资标准×计薪数量计算,已调整并核对,源码与既有文案契约核对,src/normalized-ui/OwnerFinancePanel.tsx:1066,基本工资按薪资标准×计薪数量计算
COPY-50,StaffAccessManagementPanel.tsx,服务端整批写入,替换,发布后统一生效；任一项失败，本次权限调整不会生效。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/StaffAccessManagementPanel.tsx:273,发布后统一生效；任一项失败，本次权限调整不会生效。
COPY-51,StackingPricePreviewPanel.tsx,服务端试算,替换,计算优惠结果,已调整并核对,源码与既有文案契约核对,src/normalized-ui/StackingPricePreviewPanel.tsx:138,计算优惠结果
COPY-52,CashierAfterSalesWorkbench.tsx,异常结清事实,替换,异常结清记录,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CashierAfterSalesWorkbench.tsx:766,异常结清记录
COPY-53,CashierAfterSalesWorkbench.tsx,原营业日事实,替换,原营业日记录,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CashierAfterSalesWorkbench.tsx:458,原营业日记录
COPY-54,CashierAfterSalesWorkbench.tsx,registration.status,枚举翻译,报名状态按业务名称显示,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CashierAfterSalesWorkbench.tsx:1102,"businessStatus(registration.status,'registration')"
COPY-55,SocialBroadcastPanel.tsx,平台回执,简化,区分微信已受理、发送完成、发送失败、未知结果；任务编号和排查代码折叠。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/SocialBroadcastPanel.tsx:69,微信发送结果详情
COPY-56,SocialAccountPanel.tsx,codeDataKey,保留并分区,模板ID、AppID、密钥与消息字段保留在管理员接入设置,已调整并核对,原权限不变；管理员入口分区及 320/360/390/844 浏览器核对,src/normalized-ui/CustomerExperienceManagementPanel.tsx:248,label:'管理员接入'
COPY-57,PersonalContactGovernancePanel.tsx,item.status,枚举翻译,联系方式管理规则状态用中文名称显示,已调整并核对,源码与既有文案契约核对,src/normalized-ui/PersonalContactGovernancePanel.tsx:110,item.resourceKind==='activity_registration_contact'?'registration':'contact'
COPY-58,MemberCardManagementPanel.tsx,如 FAN_MUSIC,改交互,填写会员卡名称，项目编号自动生成,已调整并核对,可读输入控件及自动编号源码核对；历史编号字段仍保留,src/normalized-ui/MemberCardManagementPanel.tsx:118,项目编号自动生成，请填写会员卡名称。
COPY-59,staff-actions/TableObservationSheet.tsx,看到的事实,保留,保留观察事实与个人判断的区分,已核对保留,源码与既有文案契约核对,src/normalized-ui/staff-actions/TableObservationSheet.tsx:138,看到的事实
COPY-60,CustomerPublicationPanel.tsx,法务批准,保留并分区,发布材料核对放到管理员发布设置，保留必要批准与平台状态,已调整并核对,原权限不变；管理员入口分区及 320/360/390/844 浏览器核对,src/normalized-ui/StaffModulePanel.tsx:1678,管理员发布设置
