编号,原文或原字段,建议展示,场景,调整方法,证据文件,证据行号,状态,实现证据
TERM-14,生成服务端影响预览,查看修改影响,会员规则,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,91,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-15,所有经营字段均为强类型配置,修改内容会在审核通过并发布后生效,会员规则说明,业务化,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,71,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-16,积分倍率分子,每消费[金额]元获得[积分]积分,会员规则,成组重做表单,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-17,成长值金额分母,每消费[金额]元获得[成长值]点成长值,会员规则,成组重做表单,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-18,银卡积分倍率分母,每[基础积分]实际记[奖励积分]；保留精确比例并附示例,等级规则,成组重做表单,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-19,等级策略版本ID,适用的等级规则,权益关联,名称选择器,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-20,权益定义ID,选择权益,权益关联,名称选择器,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-21,商品ID,选择商品,兑换配置,名称选择器,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-22,活动ID,选择活动,兑换配置,名称选择器,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-23,成本（分）,成本（元）,会员配置,精确单位转换,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,src/normalized-ui/membership-business-inputs.tsx；金额精度单测；名称选项接口实测
TERM-24,需要桌台会话,需在已开台的桌位使用,权益使用条件,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-25,需要员工履约,需由员工交付,权益使用条件,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-26,履约前允许取消,交付前允许取消,权益规则,按实际状态验证语义,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/MembershipConfigurationCenterPanel.tsx,19,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-27,等级周期资格快照,本等级周期评定时的成长值,会员账户,保留口径改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CustomerExperienceManagementPanel.tsx,323,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-28,商品须到KDS完成,商品需在制作与送达页面完成交付,会员兑换,业务化跳转,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CustomerExperienceManagementPanel.tsx,959,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-29,确认未履约并返还,确认尚未交付，退回积分,会员兑换异常,保留事实确认,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CustomerExperienceManagementPanel.tsx,959,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-30,库存履约物料（可选）,活动所需库存物料（选填）,活动配置,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/ActivityOperationsPanel.tsx,670,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-31,联系方式隐私治理,联系方式保留与清理,联系信息管理,仅管理岗位,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/PersonalContactGovernancePanel.tsx,102,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-32,按本次收货成本重新核算后原子发布。,核对本次成本后，确认入库并上架,商品发布说明,保持原子操作不变,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CatalogManagementPanel.tsx,879,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-33,区域批量发布使用同一事务，任一桌冲突时整批回滚。,所选桌台将一起安排；如有冲突，本次安排不会生效,责任桌安排,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/staff-actions/ResponsibilityAssignmentPanel.tsx,185,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-34,仅从已完成的原始快照生成一张标有“补打”的新票,按原票内容补打一张，票面注明“补打”,打印,保留原因和原票,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,1608,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-35,原打印回执尚未确认,尚未确认上一张是否打印,打印结果,保留核对步骤,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/OrderBillPrintButton.tsx,91,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-36,此处为查询快照，不是已扎账确认。,当前为查询结果，营业日是否已结账请查看日结状态,历史订单,保留业务口径,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/OperatingHistoryPanel.tsx,114,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
