"requirement_id","source","priority","requirement","target_behavior","current_status","current_evidence","gap_or_conflict","implementation_scope","acceptance","external_gate"
"UPG-006","权限要求","P0","升级与产能三人发布","起草人、审批人、发布人分离；回滚不改写历史","本地实现；需岗位演练","迁移089权限/触发器；管理API/UI","默认角色已分配最小权限，仍需真实账号撤权演练","规则和产能权限","自批、自发、越权和重放失败关闭","真实岗位矩阵"
"ACT-001","用户确认","P1","超嗨列表精简","仅显示封面、类型、标题、日期、摘要、价格、余位和详情入口","本地实现；需素材真机","miniprogram/pages/community","正式活动素材和客户判断效率未验收","活动列表","手机一屏可判断是否点入，无长规则占版面","视觉和顾客可用性"
"ACT-002","用户确认","P0","超嗨详情承载完整承诺","详情展示日程、地点、包含内容、权益、要求、安全、费用和退款规则","本地实现；需正式政策","community-detail；活动条款/发布字段","展示文案可JSONB，资格金额状态均强类型；正式文本未签字","活动详情与条款确认","提交前看见全部承诺并锁版本","活动正式素材和经营/安全签字"
"ACT-003","用户确认","P0","活动报名与权威支付","免费直接确认；收费同事务暂留名额并建活动支付对象，unknown只查单","本地实现；收费默认关闭","迁移054；activity-payment；expiry worker；详情/我的","门店支付、本地Provider、activity feature三门禁默认关闭","活动支付编排","回调幂等、金额不符/unknown不误确认不误释放","真实商户、查单、退款、对账和真机"
"ACT-004","业务边界","P0","公开活动不强制入会","public允许非会员报名，member/segment按已发布规则校验","本地实现","community detail/service/repository","报名与入会同意已分离","公开报名","公开报名零会员写入；会员活动明确引导","隐私和入会口径"
"ACT-005","权限与安全要求","P0","活动草稿和客户承诺受控发布","独立工作台配置完整活动；发布后承诺不可静默改；创建者与发布者分离","本地实现；收费默认关闭","迁移062/067/088；ActivityOperationsPanel","旧第二入口退出默认UI；新建禁止black；正式政策未签字","活动工作台与发布保护","缺安全/退款/费用字段、自批、越权均拒绝","经营、财务、安全签字"
"ACT-006","活动运营要求","P1","名单、候补、签到、未到、取消、退款和重报闭环","明确释放名额后按序递补；收费候补不预扣；已付取消只走店长到收银退款链","本地实现；需资金岗位现场","迁移088；activity operations API/UI；waitlist worker","真实候补通知、资金和现场并发未验收","活动运营与候补worker","递补并发幂等，不跳队，不因unknown释放；零付款可重报","真实岗位、真实资金和现场"
"ACT-007","会员PRD 9.4/24","P0","活动促销积分必须版本化并受预算约束","按活动付款/签到/完成等明确事实触发，配置预算、个人上限、叠加、有效期和退款冲回","本地实现；默认不开启","迁移091；promotional loyalty service/worker/API/UI","旧points_reward固定0；尚无批准预算、影子期和真实退款证据","促销积分规则与发放/冲回","三人发布、并发预算守恒、暂停恢复、退款冲回幂等","财务签字、14天影子、真实退款和岗位"
"MBR-001","用户确认；会员PRD 11/17","P0","本人看见真实权益","名称、来源、数量、条件、有效期和核销状态来自权威权益","本地实现；需真实发放核销","profile；benefits/benefit reservations；tier benefit","页面不是发放证据","会员权益投影和申请","本人可见、他人不可见、过期核销同步","正式权益成本和岗位"
"MBR-002","用户确认","P0","赠送和折扣对客户可见","桌账显示权威pricingKind/label；长期权益另有正式发放记录","本地实现；需岗位验收","guest-table-orders；account页面；benefit domain","不得把营销卡冒充赠送","桌账和权益展示","赠送/折扣标签准确且不泄露内部额度","真实赠送与核销岗位"
"MBR-003","产品边界","P1","营销内容与到账权益分离","content cards仅推广，benefits才表示资格","本地实现基础；需内容审批","member_content_cards；profile","内容导航白名单已接；真实权益仍只读权威表","内容卡和权益区","推广有标识，不可被核销链识别为权益","内容审批"
"MBR-004","用户确认","P1","我的活动显示完整状态","本人可见待付、unknown、确认、候补、取消、退款申请/处理中/已退款","本地实现；收费默认关闭","profile；registration/payment/refund APIs","真实资金恢复和真机未验收","本人活动投影","状态与权威支付退款一致；unknown不重复发起","真实支付与微信真机"
"MEM-005","会员PRD 7；用户要求","P0","入会邀请非阻断且有冷却","点单轻提示和我的主动入口均不遮挡点单；拒绝后按配置冷却；重试幂等","本地实现；需真机","order/profile；membership invitation policy；enroll","页面存在不证明购物车保持和真机体验","邀请、拒绝、冷却、入会","拒绝后完整点单；重复操作只建一个会员","微信真机和顾客任务测试"
"MEM-006","会员PRD 7.4/21.2","P0","旧会员找回和合并","主动微信手机号核验后0/1/多候选分流，员工核验与异人复核，保留来源","本地实现；需外部验收","迁移079；wechat phone adapter；membership recovery service/API/profile","正式微信手机号接口和真实历史样本未验收","找回、候选、合并、驳回","不泄露候选，自批/跨店/重放/竞态拒绝，身份族一致","正式微信接口、历史会员和岗位"
"MBR-005","会员PRD 7.3/14","P0","入会条款完整展示并强留痕","独立全文页确认当前已发布版本，同事务保存来源和接受事实；无条款时只阻断新入会","本地实现；员工图形化管理页未做","迁移081；membership terms service/API；membership-terms page","员工受控API可管理；不得把API冒充完整图形化自助页","条款版本、三人发布、接受事实","新会员必有准确版本；既有会员不被新条款变化阻断","首版正式条款、三岗位配置、真机长文"
"REC-001","观察PRD 6-7","P1","最多三档可解释推荐","轻松开始、今晚推荐、完整体验显示总价、内容、人数和真实理由","本地实现；需经营校准","recommendation sessions/options；order page","正式商品方案和真实顾客选择未校准","推荐生成和展示","0至3结果，无重复，不引用未接入依据","正式商品配置和影子样本"
"REC-002","观察PRD 6.1","P0","硬筛选先于评分","排除不可售、缺货、人数不符、明确限制、产能不足、时段和演出阶段不适用","本地实现；需现场参数","迁移085；inventory/capacity/selling-window/restriction/phase queries","无可靠演出阶段时受限商品不推荐；过敏限制不代替医疗核对","推荐资格查询","每项正反测试且客户端不能绕过","库存、产能、阶段现场校准"
"REC-003","观察PRD 6.2","P1","推荐评分可解释且版本化","场景、人数、偏好、历史、演出、履约、利润和价格风险按已发布策略计算","本地实现主信号；需影子校准","迁移051/085/086；policy versions；rankProducts","尚未接入的信号权重必须为0；不得暴露毛利给顾客","评分策略和理由","同版本可复算，禁忌永远优先于利润","经营影子运行"
"REC-004","观察PRD 5.3/8","P0","个人偏好有证据、衰减、反证和撤回","规范客户身份族聚合明确证据，本人可声明、纠正和撤回，桌台事件不自动归个人","本地实现；需隐私验收","迁移085/086；preference service/API/profile","最近证据摘要不暴露员工原话身份；保留期未签字","偏好事实与本人入口","撤回/修订重算，单次桌台观察零个人偏好","隐私和保留政策"
"REC-005","观察PRD 9","P0","推荐从展示到资金和分析可追溯","generated/exposed/selected/rejected/ordered/paid/refunded绑定强订单行、支付退款金额，并可分析","核心本地实现；细粒度事件仍缺","迁移051/059；资金事务；analytics panel","购物车移除、员工修改和复购等事件未完整接入；真实资金未验收","行为事件、资金归因、经营分析","失败/unknown/跨桌跨店/非推荐退款零归因；升级不虚写","真实资金、对账和营业样本"
"REC-006","逻辑复核；观察PRD 23","P0","体验计划只在有效成交后激活","桌账订单激活table_tab计划；即时付款计划只认权威成功；unknown/失败零节点，全退取消待执行节点","本地实现；需岗位演练","迁移086；experience-plan activation repository","节点时间和岗位模板仍需版本化经营确认","体验计划激活与取消","加购物车零任务；重复回调不重复；退款不留待执行节点","岗位和营业现场"
"OBS-001","观察PRD 11/20","P0","责任桌十秒观察入口","文字、只记录/马上处理、最近5条和最少必要上下文","本地实现；需真实计时","StaffActionsPanel；TableObservationSheet；repository","10秒是体验目标而非自动测试事实","员工观察入口","常见文字记录约10秒，取消零任务，确认同事务一项最小任务","真实服务员计时"
"OBS-002","观察PRD 12-15","P0","原始表达、结构化分类和修订可追溯","原文不覆盖；客观事实、客户原话、员工判断、系统推断分离；追加修订","本地实现；需现场语料","迁移051；observation repository/UI","员工转写不存原录音；中文现场准确率未验收","输入、事件、候选、修订","原因未知合法，反选/分类纠正/历史修订可达","中文语料和岗位"
"OBS-003","观察PRD 13-14","P0","模糊商品只从本桌订单匹配","别名、颜色、错字生成候选；不在订单中禁止自动确认；低置信度保留不确定","本地实现基础；需真实语料","observation repository及测试","真实菜单别名、颜色和口语仍不足","订单范围匹配器","跨桌商品零候选，低置信度不编造","真实菜单语料"
"OBS-004","观察PRD 16","P0","作用范围防错误归因","默认桌台/商品级；客户级必须明确身份和可追溯证据","本地实现；需拼桌隐私验收","迁移051/086证据门禁","桌台关系保存不等于复制行为","观察范围和偏好门禁","整桌剩余不会进入任何个人偏好","隐私和真实拼桌"
"OBS-005","观察PRD 17","P1","观察与即时服务分离","只记录进入分析；马上处理只在确认事务建一项最小摘要任务；资金权益仍走审批","本地实现；需岗位隐私验收","observation repository；ServiceTaskRepository","任务不复制观察原文；普通员工不能直接退款赠送","确认事务和服务引用","解析/取消零任务；确认同事务一项；越权资金零执行","岗位和隐私"
"OBS-006","观察PRD 18-21/23","P0","推荐、商品体验和数据质量分析及基础周报","显示权威销量退款冻结成本、观察、样本、支持/反证和置信度，可按多维筛选","本地实现；需营业样本性能","CustomerExperienceAnalyticsPanel/API/repository","当前为可重算建议，不是自动菜单决策；复购等长期指标未完全接","分析读模型和管理页","篡改快照不改金额；原始证据仅授权岗位可见","至少三个晚班样本、性能和经营解释"
"OBS-007","观察PRD 2.2/23；用户覆盖","P1","员工文字必备、员工语音可选；顾客无语音","员工主动授权最长20秒转写，不存原录音，失败回文字；顾客端零语音入口","本地员工入口实现；顾客语音明确排除","TableObservationSheet；staff transcription；miniprogram零入口","顾客语音不是遗漏；供应商和真机权限仍未验收","员工转写和顾客端反门禁","关闭服务文字可用；20秒停止；顾客端无字符串/入口","语音供应商、隐私和员工真机"
"PERM-001","观察PRD 22","P0","观察和推荐按责任桌与岗位授权","服务员只见责任桌必要信息，跨桌/原文/分析/规则各用独立权限","本地实现；需岗位矩阵","迁移051/064/085；role config；service tests","真实排班、候补和撤权未现场验收","权限、数据范围、UI可见性","UI与直调API同样拒绝越权；撤权即时生效","权限矩阵签字"
"PERM-002","两份PRD权限章节","P0","关键规则、权益和资金动作可审计且分岗","重大规则起草/审批/发布分离；退款店长发起、收银复核执行；补发异人审批","本地实现主链；需真实岗位","迁移080/081/087/088/089/091；audit/outbox","页面/API/表均不能单独证明真实角色可用","规则、活动、升级、会员、积分、退款权限","自批、自发、越权、重放和审计失败均关闭","真实账号和交接演练"
"DATA-001","规范化要求","P0","运行资格金额权限状态不依赖自由JSON","强类型字段或不可变策略版本决定运行；JSONB只留展示、历史和原始外部回执","本地实现主链；历史治理待验","迁移056/059-091及默认API反门禁","兼容传输包装可存在，但生产者不得从JSON推断","数据迁移、强字段、版本表","篡改快照不改变金额、资格、状态、时限、权限、筛选或排序","历史数据对账和生产只读复核"
"DATA-002","观察PRD 3","P1","客户、桌次、订单、服务和演出时间线可追溯","参与关系按桌位分段追加保存来源、角色、确认、进出、规范客户身份族及强类型移动事件；整桌换桌、人员拆桌和业务已结全员并桌均撤销旧桌会话并要求重扫","本地实现；需真实换拼拆桌与维护窗验收","migration 051/096；canonical customer family；table customer movement events","不迁移或复制历史订单、付款、KDS、任务和观察；未结独立账单table-group不在本轮范围","参与历史、客户时间线、移动事件和限时会话","历史不覆盖；合并可纠错；跨桌不串数据；旧token拒绝；未结业务阻断；容量超限留原因","真实接待流程、岗位权限、维护窗和现场设备"
"DATA-003","隐私要求","P0","活动联系方式最小化保护","白名单输入，哈希/密文/密钥版本/掩码保存，公开投影不返原值","核心本地实现；治理待验","contact protection adapter/repository","正式密钥轮换、解密范围、保留期和清理未验收","联系人保护与访问范围","非法字段拒绝，无权岗位零原值，轮换清理可审计","隐私负责人和密钥政策"
"DATA-004","用户确认；会员PRD 8","P0","通知授权强类型且会员页不堆通用开关","每个通知绑定本人、类型、用途、上下文、模板、策略和次数；拒绝不影响基础服务","本地实现；真实微信未验收","迁移083/090；微信授权API/worker/adapter；profile/reservations","短信/通用推广和会员大卡片明确不在当前默认范围","具体场景授权、任务、回执、频控","错上下文/模板、无授权、拒绝/撤回均零发送","微信模板审核、真机、真实送达和SOP"
"RES-001","预约演出要求","P1","演出选择是偏好且变更可确认","保存强schedule；取消/改期/换场生成修订和影响；顾客keep/reselect/clear且不自动取消预约","本地实现；需外部验收","迁移052/090；reservation performance service/API/UI","偏好不保证座位；正式通知未送达验收","演出修订、影响、确认","canonical本人可操作，外人/跨店/并发拒绝，预约始终有效","正式排期、模板、真机和岗位"
"RES-002","预约契约要求","P0","预约策略版本和运行时限强类型","创建/修改锁定并重读容量、保留、宽限和确认版本；变化返回冲突","本地实现；正式政策待签","迁移052/068；reservation command/public API","正式定金/取消文本和图形化发布流程未完全验收","预约策略和修改","无策略失败关闭；版本变化零写入；到期只读强字段","经营财务签字"
"SRV-001","顾客服务进度要求","P1","显示准确服务类型、负责人和状态","本人当前桌次只见必要状态；已分配显示负责人，未分配才等待接单","本地实现；需现场轮询","guest-service-repository；status page","真实弱网、轮询恢复和任务流未验收","服务状态DTO和页面","不同请求类型映射准确，不串桌不泄露","真机和服务岗位"
"OPS-001","上线边界","P0","自动化证据绑定最终候选","迁移、PG、noDB、负载、类型、lint、架构和移动证据使用同一提交SHA","本地工作树全绿；未绑定提交","迁移091 SHA 572550cbff27776213aeff3896e181e3ca355fb471f57387f0e90bcd5928109c；PG155/912；noDB141/740；load9/9","这是未提交工作树与迁移文件SHA，不是Git提交或CI证据","固定提交和独立CI","同一Git SHA重跑全部门禁并保存报告","提交SHA、PR和独立CI"
"OPS-002","上线边界","P0","真实支付仍是外部阻断","点单和活动完成真实小额支付、回调、查单、退款、unknown恢复和四方对账才开放","外部阻断","本地三门禁与权威支付退款契约","模拟Provider、域名可达和伪回调拒绝都不是真实资金证据","真实支付验收计划","资金闭环、退款、日结和回滚证据完整","商户/KYC/密钥/服务商/财务"
"OPS-003","上线边界","P0","真机硬件和现场不可替代","微信iOS/Android、KDS/打印/平板、低峰和高峰班次完成","外部阻断","当前未部署候选","浏览器/模拟器不证明相机、支付、权限、发热、弱网和岗位可用","设备与现场清单","至少一个低峰和两个高峰晚班；未完成项显式保留","门店、员工、设备和真实顾客"
"IDN-001","会员PRD 6/21.1","P0","正式微信身份建立规范客户会话","wx.login由服务端换码、加密身份和短期Bearer；生产未启用时失败关闭","本地实现；需正式微信","迁移071；auth/session；wechat production adapters","仓库无真实AppID/Secret，未真机验证","微信身份和会话","伪code/openid/session拒绝；同微信重进稳定；撤销过期跨店关闭","正式AppID/Secret、域名和真机"
"IDN-002","会员PRD 6.2/21.1","P0","官方桌码和微信发布门禁","保持既有路由，官方码严格scene；候选/上传/审核/发布各有不可变证据","本地发布门禁实现；外部资料缺失","official mini-code；release scripts/CI/readiness；production template","缺正式码、域名、隐私、模板、平台回执时DENY","官方码和发布系统","冲突/畸形scene拒绝；提交漂移拒绝；无证据不误报ready","微信公众平台和审核"
"LOY-001","会员PRD 9/12/21.4","P0","积分成长值双账户与资金归因","订单锁规则；权威支付幂等发放；退款逐笔按原award冲回；倍率不改成长值","本地实现；需真实资金影子","迁移072-074/082；loyalty repository；payment/refund hooks","真实规则和财务对账未签","账户、award、批次、流水","重复/unknown/部分/多次退款守恒，JSON篡改无影响","真实支付退款、财务对账、14天影子"
"LOY-002","会员PRD 13/21.5","P0","漏积分自动恢复和双人补发一致","申请只含系统差额；审批重验权威事实；自动恢复时not_required；补发后退款完整冲回","本地实现；需异常样本岗位","迁移082；supplement/refund consistency tests","真实异常订单、对账频率和岗位SLA未验收","对账、申请、审批、退款application","并发不双发；微额退款0积分仍有幂等事实；赠送排除","财务岗位和真实异常样本"
"LOY-003","会员PRD 14/21.7","P0","规则三人发布、未来排期和紧急暂停","起草、审批、发布分离；未来版本不造成空档；暂停新积分/兑换/通知不删历史","本地实现；需经营岗位","迁移080/087；policy services；emergency UI","暂停不阻断支付/KDS/退款；正式规则未签","规则发布和运行总闸","三人不能互代；排期无重叠空档；恢复幂等补算","三岗演练和经营财务签字"
"TIER-001","会员PRD 10/21.6","P0","普通/银/金等级周期和自动权益","升级、保级、降级按已发布版本；权益独立三人发布、到期和降级保护；black默认不可达","本地实现；需周期成本验收","迁移074/078/080；tier workers/UI/profile","真实阈值、周期和权益成本未签","等级和权益政策","同事件只发一次；保级不重复；降级按政策保护或撤销","真实成本、岗位和营业周期"
"PTS-EXP-001","会员PRD 9.1/17/21.3","P0","积分批次到期可见且可选提醒","FIFO使用，到期只扣一次；本人看到近30天到期和明细；提醒需具体一次授权","本地实现；需模板真机","迁移073/077/083；expiry worker；points/profile","提前期是可配置政策；真实模板送达未验收","到期worker、公开投影、提醒","兑换/到期竞态守恒；无授权零发送","微信模板、真机和时间边界"
"RED-001","会员PRD 11/21.6","P0","积分兑换、库存、KDS和失败返还","原子FIFO扣分与库存限额；确认后一次进KDS；失败/超时按原批次恢复","本地实现；需真实KDS岗位","迁移075/084；redemption repository/recovery worker；profile","积分加现金和积分抵现明确排除；真实库存设备未验收","兑换目录、履约和恢复","并发不超卖；未确认零KDS；返还一次且原批次可追溯","真实KDS、库存、权益成本和岗位"
"CNS-001","会员PRD 8/17.4；用户覆盖","P1","授权逐项且基础服务不捆绑","手机号、入会、微信通知、短信营销、活动推广和报名不互相推导；当前只实现具体微信服务通知","本地实现核心；短信/通用推广默认排除","迁移079/083/090；profile/reservations","用户明确会员不需要通用授权面板；未来若启用短信须另立供应商和同意","分项授权和反推导门禁","手机号不启营销，入会不启通知，推广不自动报名","微信平台验收；短信若未来启用另审"
"REL-001","上线边界","P0","微信、会员和通知纳入商业发布门禁","发布检查覆盖正式身份、官方码、域名、模板、角色、worker、迁移和同候选证据","本地实现；外部证据缺失故DENY","verify readiness；release CI；env whitelist/template","工具已不再因微信资料缺失误报ready；仍未提交未上传未部署","发布配置与门禁","任一外部证据或提交漂移返回DENY，密钥不打印不入库","微信平台、固定提交CI和候选环境"
"PRD-SUG-001","会员PRD 9-11/23；观察PRD 8/20","P2","建议参数和体验目标不是硬编码事实","积分有效期、等级门槛、预算、频控、10秒目标和试点天数全部版本化并经试算批准","文档建议/非硬需求","两份PRD中的建议、示例、推荐默认值","缺真实成本、客单、复购、库存和员工样本时不得宣称合理","策略、影子核算和操作计时","阈值变化不改代码且保留历史；经营/财务/隐私签字","历史数据、成本和真实岗位样本"
