"运行","账号","页面","展开状态","控件","名称","禁用","宽","高","缺少可计算名称","证据边界"
"default-390","chenfangyu","/","disclosures","button","收银与退款","false","179","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","刷新待办","false","90","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","现在可处理","false","106","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","等待处理","false","90","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","select","待办业务","false","54","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","summary","查询范围与更多记录","false","366","46","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","全部退款记录","false","122","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","全部打印失败记录","false","154","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","summary","营业概况","false","366","46","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","营业桌台1 项进行中1进行中","false","366","63","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","经营分析","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","现场","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","收银与退款","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","库存","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","全部岗位入口","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","工作台","false","98","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","陈方宇，切换账号","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","刷新现场","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","人员与责任桌安排主服务员、候补或临时支援可批量安排","false","364","58","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","input","搜索桌号或区域","false","321","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","select","按区域筛选桌台","false","100","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","营业中","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","待支付","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","负责桌","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","全部","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","W012人 · 已开台已点 ¥0.00","false","86","76","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","W01直接收款","false","86","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","经营分析","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","现场","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","收银与退款","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","库存","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","initial","button","全部岗位入口","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","工作台","false","98","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","陈方宇，切换账号","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","刷新现场","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","人员与责任桌安排主服务员、候补或临时支援可批量安排","false","364","58","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","select","员工Jerry · jerryTom · tomTyke · tyke三沐 · sanmu乌鸦 · wuya付淳羽 · fuchunyu冷言志 · lengyanzhi护古 · hugu挞挞 · tata李艳 · liyan申良良 · shenliangliang阿金 · ajin陈方宇 · chenfangyu","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","select","本次岗位副店长 · DEPUT_MANAGER后厨 · KITCHEN市场设计 · DESIGN市场运营 · MARKETING店长 · MANAGER收银员 · CASHIER服务员 · SERVER系统管理员 · ADMIN老板 · OWNER舞台运营 · STAGE_OPS调酒师 · BARTENDER调音灯光 · AUDIO_LIGHTING运营负责人 · OPS_LEAD门迎 · GREETER","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","select","责任类型主服务员候补服务员临时支援","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","开始时间","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","结束时间（可不填）","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","安排原因","false","346","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","搜索责任区域或桌台","false","237","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","吧台单人位4桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","BAR11人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","BAR21人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","BAR31人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","BAR41人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","室内休闲区9桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","6668人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","8888人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L014人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L024人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L034人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L044人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L054人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L064人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","L074人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","室内中区23桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A014人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A024人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A034人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A044人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A054人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A064人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A074人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","A084人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B014人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B024人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B034人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B044人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B054人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B064人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B074人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","B084人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C014人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C024人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C034人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C044人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C054人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C064人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","C074人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","室外区域17桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W014人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W024人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W034人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W044人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W054人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W064人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W074人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W088人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W094人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W104人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W114人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W124人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W134人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W144人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W154人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W164人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","W174人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","舞台互动区7桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S13人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S23人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S33人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S43人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S53人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S63人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","S73人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","VIP卡座5桌","false","259","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","选择整区","false","65","50","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","VIP18人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","VIP28人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","VIP310人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","VIP48人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","VIP56人","false","18","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","发布 责任安排","true","346","48","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","input","搜索桌号或区域","false","321","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","select","按区域筛选桌台","false","100","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","营业中","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","待支付","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","负责桌","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","全部","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","W012人 · 已开台已点 ¥0.00","false","86","76","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","W01直接收款","false","86","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","经营分析","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","现场","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","收银与退款","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","库存","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/live","disclosures","button","全部岗位入口","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","工作台","false","98","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","陈方宇，切换账号","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","刷新收银与退款","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","刷新商品待办","false","124","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","select","平台大众点评（未配置）美团（未配置）抖音（未配置）快手（未配置）","false","338","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","input","券码或付款码扫码","false","245","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","扫码","false","86","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","查询券状态","true","338","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","检查并结束","false","112","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","input","查找收银订单","false","254","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","查找","false","62","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","select","区域全部区域","false","181","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","select","支付状态全部状态待支付支付中已完成已退款","false","181","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","0待复核","false","92","49","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","0待执行","false","92","49","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","经营分析","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","现场","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","收银与退款","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","库存","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","initial","button","全部岗位入口","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","工作台","false","98","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","陈方宇，切换账号","false","88","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","刷新收银与退款","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","刷新商品待办","false","124","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","select","平台大众点评（未配置）美团（未配置）抖音（未配置）快手（未配置）","false","338","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","input","券码或付款码扫码","false","245","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","扫码","false","86","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/staff/payments","disclosures","button","查询券状态","true","338","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
