"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0038","src/components/MenuOrderingWorkspace.tsx","1083","MenuOrderingWorkspace","button","`${product.name}暂不可点，${status.label}`","{}","","","true","!status.orderable","固定不可操作的状态展示","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0039","src/components/MenuOrderingWorkspace.tsx","1085","MenuOrderingWorkspace","button","`加入${product.name}`","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0040","src/components/MenuOrderingWorkspace.tsx","1088","MenuOrderingWorkspace","button","","{""onClick"":""() => changeQuantity(product.id, -1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0041","src/components/MenuOrderingWorkspace.tsx","1090","MenuOrderingWorkspace","input","`${product.name}数量`","{""onFocus"":""(event) => event.currentTarget.select()"",""onChange"":""(event) => setProductQuantity(product.id, Number(event.target.value))""}","","","cartMutating","!status.orderable && quantity === 0 && product.productKind!=='bundle'&&(product.maxOrderQuantity ?? 50)>50","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0042","src/components/MenuOrderingWorkspace.tsx","1092","MenuOrderingWorkspace","button","","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0043","src/components/MenuOrderingWorkspace.tsx","1104","MenuOrderingWorkspace","button","关闭购物车","{""onClick"":""() => setCartOpen(false)""}","","","","compactCart && cartOpen","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0044","src/components/MenuOrderingWorkspace.tsx","1107","MenuOrderingWorkspace","button","","{""onClick"":""() => setCartOpen(false)""}","","","","compactCart && cartOpen","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0045","src/components/MenuOrderingWorkspace.tsx","1112","MenuOrderingWorkspace","button","{cartMutating ? '正在同步选择' : busy ? '正在提交' : submitLabel}","{""onClick"":""() => void submit()""}","","","cartProducts.length === 0 || checkoutBusy || submitDisabled","compactCart && cartOpen","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0046","src/components/MenuOrderingWorkspace.tsx","1119","MenuOrderingWorkspace","button","`查看本次购物车，待提交${itemCount}件，合计${formatMenuAmount(total)}元`","{""onClick"":""() => setCartOpen((open) => !open)""}","","","itemCount === 0","compactCart && itemCount > 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0047","src/components/MenuOrderingWorkspace.tsx","1133","MenuOrderingWorkspace","button","{cartMutating ? '正在同步' : submitDisabled ? submitLabel : '查看已选'}","{""onClick"":""() => setCartOpen(true)""}","","","cartProducts.length === 0 || checkoutBusy || submitDisabled","compactCart && itemCount > 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0048","src/components/MenuOrderingWorkspace.tsx","1143","MenuOrderingWorkspace","button","{cartMutating ? '正在同步选择' : busy ? '正在提交' : submitLabel}","{""onClick"":""() => void submit()""}","","","cartProducts.length === 0 || checkoutBusy || submitDisabled","compactCart","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0049","src/components/MenuOrderingWorkspace.tsx","1152","MenuOrderingWorkspace","button","关闭商品详情","{""onClick"":""() => { setDetailProductId('');setEditingBundleUnit(null) }""}","","","","detailProduct","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0050","src/components/MenuOrderingWorkspace.tsx","1156","MenuOrderingWorkspace","button","","{""onClick"":""() => { setDetailProductId('');setEditingBundleUnit(null) }""}","","","","detailProduct","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0051","src/components/MenuOrderingWorkspace.tsx","1184","MenuOrderingWorkspace","button","{option.name??'可选菜品'} {option.quantity>1?`每份 × ${option.quantity}`:(option.unavailableReason??'包含 1 份')} {selected?'已选':'选择'}","{""onClick"":""()=>toggleDetailChoice(group.id,option.productId,group.selectionCount)""}","","","option.available===false","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0052","src/components/MenuOrderingWorkspace.tsx","1205","MenuOrderingWorkspace","button","{editingBundleUnit?<Check size={18}/>:<Plus size={18} />} {detailChoiceGroups.length>0 ?(detailChoicesComplete?(editingBundleUnit?`保存第${editingBundleUnit.unitIndex+1}份`:'确认选择并加入'):'请先完成选择') :'加入购物车'}","{""onClick"":""()=>void addConfiguredBundle(detailProduct)""}","","","availability.get(detailProduct.id)?.orderable !== true || cartMutating || !detailChoicesComplete","detailProduct && detailProduct.productKind==='bundle'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0053","src/components/MenuOrderingWorkspace.tsx","1212","MenuOrderingWorkspace","button","加入购物车","{""onClick"":""()=>changeQuantity(detailProduct.id,1)""}","","","availability.get(detailProduct.id)?.orderable !== true || cartMutating","detailProduct && detailProduct.productKind==='bundle' && detailQuantity===0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0054","src/components/MenuOrderingWorkspace.tsx","1218","MenuOrderingWorkspace","button","`减少${detailProduct.name}`","{""onClick"":""()=>changeQuantity(detailProduct.id,-1)""}","","","cartMutating","detailProduct && detailProduct.productKind==='bundle' && detailQuantity===0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0055","src/components/MenuOrderingWorkspace.tsx","1220","MenuOrderingWorkspace","button","`增加${detailProduct.name}`","{""onClick"":""()=>changeQuantity(detailProduct.id,1)""}","","","cartMutating","detailProduct && detailProduct.productKind==='bundle' && detailQuantity===0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0056","src/components/MenuOrderingWorkspace.tsx","1226","MenuOrderingWorkspace","div","再完整一点 加 ¥ {formatMenuAmount(upgradeProduct.listPriceAmount - upgradeSourceProduct.listPriceAmount)} ，换成 {upgradeProduct.name} {recommendationConfig(upgradeProduct).reason || upgradeProduct.description || '更适合今晚完整地喝一轮。'} 保持现在这样 升级这一份","{""onClick"":""() => {\n        setUpgradePromptProductId('')\n        setUpgradeSourceProductId('')\n      }""}","","","","guestSalesMode && upgradeProduct && upgradeSourceProduct && upgradeProduct.listPriceAmount > upgradeSourceProduct.listPriceAmount","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0057","src/components/MenuOrderingWorkspace.tsx","1230","MenuOrderingWorkspace","section","升级今晚选择","{""onClick"":""(event) => event.stopPropagation()""}","","","","guestSalesMode && upgradeProduct && upgradeSourceProduct && upgradeProduct.listPriceAmount > upgradeSourceProduct.listPriceAmount","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0058","src/components/MenuOrderingWorkspace.tsx","1235","MenuOrderingWorkspace","button","保持现在这样","{""onClick"":""() => {\n              setUpgradePromptProductId('')\n              setUpgradeSourceProductId('')\n            }""}","","","","guestSalesMode && upgradeProduct && upgradeSourceProduct && upgradeProduct.listPriceAmount > upgradeSourceProduct.listPriceAmount","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0059","src/components/MenuOrderingWorkspace.tsx","1239","MenuOrderingWorkspace","button","升级这一份","{""onClick"":""() => {\n              removeProduct(upgradeSourceProduct.id)\n              void setProductQuantity(upgradeProduct.id, 1)\n              emitInteraction('upgrade_accepted', {\n                productId: upgradeProduct.id,\n                metadata: { fromProductId: upgradeSourceProduct.id },\n              })\n              setUpgradePromptProductId('')\n              setUpgradeSourceProductId('')\n            }""}","","","","guestSalesMode && upgradeProduct && upgradeSourceProduct && upgradeProduct.listPriceAmount > upgradeSourceProduct.listPriceAmount","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0060","src/components/MenuOrderingWorkspace.tsx","1253","MenuOrderingWorkspace","div","{confirmation === 'duplicate' ? <AlertTriangle size={22} /> : complimentaryMode ? <Gift size={22} /> : <ShoppingCart size={22} />} {confirmation === 'continue' ? 'CONTINUE ORDER' : complimentaryMode ? 'GIFT CHECK' : 'ORDER CHECK'} {confirmation === 'duplicate' ? '刚刚下过一笔相同订单' : confirmation === 'continue' ? '还要继续加单吗？' : complimentaryMode ? '请确认这次赠送' : '请确认这次上单'} {confirmation === 'continue' ? <p>您刚完成一次下单。确认是新一轮加单后再继续，避免手滑重复上单。</p> : <> <div className=""menu-confirm-lines"">{cartProducts.map((product) => <div key={product.id}><span>{product.name} × {cart[product.id]}</span><strong>¥{((cartUnitAmount(product) * cart[product.id]!) / 100).toFixed(2)}</strong></div>)}</div> <div className=""menu-conf","{""onClick"":""() => setConfirmation(null)""}","","","","confirmation","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0061","src/components/MenuOrderingWorkspace.tsx","1254","MenuOrderingWorkspace","section","confirmation === 'continue' ? '确认继续加单' : complimentaryMode ? '确认赠送' : '确认上单'","{""onClick"":""(event) => event.stopPropagation()""}","","","","confirmation","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0062","src/components/MenuOrderingWorkspace.tsx","1258","MenuOrderingWorkspace","button","","{""onClick"":""() => setConfirmation(null)""}","","","","confirmation","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0063","src/components/MenuOrderingWorkspace.tsx","1268","MenuOrderingWorkspace","button","再看看","{""onClick"":""() => setConfirmation(null)""}","","","checkoutBusy","confirmation","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0064","src/components/MenuOrderingWorkspace.tsx","1269","MenuOrderingWorkspace","button","{cartMutating ? '正在同步选择' : busy ? '正在提交' : confirmation === 'duplicate' ? '确认继续加单' : confirmation === 'continue' ? '继续选商品' : complimentaryMode ? '确认赠送' : '确认上单'}","{""onClick"":""() => {\n              if (confirmation === 'continue') void confirmContinuation()\n              else void executeSubmit(confirmation === 'duplicate' ? confirmedDuplicateOrderId : undefined)\n            }""}","","","isMenuConfirmationDisabled({
              busy: checkoutBusy,
              submitDisabled,
              confirmation,
              confirmedDuplicateOrderId,
            })","confirmation","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0065","src/normalized-ui/ActivityOperationsPanel.tsx","452","ActivityOperationsPanel","button","{expanded ? '收起' : '打开工作台'}","{""onClick"":""() => setExpanded((value) => {if(value)setRevealedContacts({});return !value})""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0066","src/normalized-ui/ActivityOperationsPanel.tsx","456","ActivityOperationsPanel","button","新建活动草稿","{""onClick"":""startCreate""}","","","!!busy","expanded && canManage","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0067","src/normalized-ui/ActivityOperationsPanel.tsx","456","ActivityOperationsPanel","button","刷新","{""onClick"":""() => void loadActivities()""}","","","phase === 'loading'","expanded","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0068","src/normalized-ui/ActivityOperationsPanel.tsx","457","ActivityOperationsPanel","button","重新读取","{""onClick"":""() => void loadActivities()""}","","","","expanded && phase === 'error'","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0069","src/normalized-ui/ActivityOperationsPanel.tsx","458","ActivityOperationsPanel","button","{activity.title} {statusLabel(activity.status)} · {dateText(activity.startsAt)} {activity.occupiedSeats} / {activity.capacity} 人 · 候补 {activity.waitlistedSeats} 人","{""onClick"":""() => {if(!closeInFlight.current)void loadDetail(activity.publicId)}""}","","","!!busy","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0070","src/normalized-ui/ActivityOperationsPanel.tsx","462","ActivityOperationsPanel","button","复核并发布","{""onClick"":""() => void publishActivity(detail.activity)""}","","","busy === 'publish'","expanded && detail && detail.activity.status === 'draft' && detail.activity.publicId !== '' && canPublish","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0071","src/normalized-ui/ActivityOperationsPanel.tsx","465","ActivityOperationsPanel","summary","{detail.activity.publicId === '' ? '填写活动草稿' : '编辑草稿'} （发布后不可静默修改）","{}","","","","expanded && detail && draft && canManage","浏览器原生展开/收起","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
