"编号","源文件","行","原文/定位片段","建议表达或交互","处理方式","必须保留的含义/要求"
"COPY-34","src/normalized-ui/PromotionalLoyaltyPanel.tsx","87","权威活动事实","核对活动付款、签到和完成记录","替换","仍只按被确认的记录发放"
"COPY-35","src/normalized-ui/PromotionalLoyaltyPanel.tsx","128","条触发事实因总闸暂停待处理","笔积分奖励因暂停发放而待处理","替换","提供查看待处理与恢复入口"
"COPY-36","src/normalized-ui/BottleCustodyPanel.tsx","66","扩展录入字段","自定义登记项目","替换","规则管理者可见"
"COPY-37","src/normalized-ui/BottleCustodyPanel.tsx","66","字段编号","项目编号自动生成","改交互","需要代码去重但无需员工手写"
"COPY-38","src/normalized-ui/BottleCustodyPanel.tsx","66","字段名称","项目名称","替换","例如品牌、包装或酒柜位置"
"COPY-39","src/normalized-ui/BottleCustodyPanel.tsx","66","字段类型","填写方式","替换","文字、数字、日期均用中文"
"COPY-40","src/normalized-ui/CustodyReportPanel.tsx","16","r.status","在存 / 已取走待处理 / 已归档等业务状态","枚举翻译","报表与导出一起映射，按存酒和消费分别处理"
"COPY-41","src/normalized-ui/CustodyReportPanel.tsx","16","r.amount_basis","保留现有中文金额口径，明确登记价值和订单应付均非实收","保留","已核对custody-report.ts由接口提供中文，不应误判为裸代码"
"COPY-42","src/normalized-ui/CustodyReportPanel.tsx","15","s.currency","人民币（元）","替换","保留币种语义，不直接裸显CNY"
"COPY-43","src/normalized-ui/OperatingHistoryPanel.tsx","88","权限由服务端校验","查看历史记录不会增加退款或打印权限。","简化","保留权限边界而非校验实现"
"COPY-44","src/normalized-ui/OperatingHistoryPanel.tsx","109","打印时读取最新快照","打印使用当时最新金额，后续到账可能改变金额。","替换","必须保留时间和金额口径"
"COPY-45","src/normalized-ui/OperatingHistoryPanel.tsx","128","全部导出使用同一账务快照","本次导出按同一查询时点统计；最多5000单，超出请缩小范围。","替换","保留上限和完整性承诺"
"COPY-46","src/normalized-ui/OrderBillPrintButton.tsx","43","生成新的金额快照和新票","再次打印会按最新金额生成新票，请先确认上一张结果。","替换","不能诱导不确认就重复打印"
"COPY-47","src/normalized-ui/OrderBillPrintButton.tsx","35","receipt.requestId","打印记录编号放在详情，可复制给管理员排查","折叠","不删除诊断能力"
"COPY-48","src/normalized-ui/OrderStockReturnForm.tsx","42","pending.recordId","退库记录详情","折叠","业务明细为主，内部ID仅诊断时展示"
"COPY-49","src/normalized-ui/OwnerFinancePanel.tsx","1066","基本工资由服务端","基本工资按薪资标准×计薪数量计算","简化","应发/实发/经营成本的区别原样保留"
"COPY-50","src/normalized-ui/StaffAccessManagementPanel.tsx","273","服务端整批写入","发布后统一生效；任一项失败，本次权限调整不会生效。","替换","仍须核对每项员工授权和发布结果"
"COPY-51","src/normalized-ui/StackingPricePreviewPanel.tsx","138","服务端试算","计算优惠结果","替换","明确这是预览，未产生实际收款"
"COPY-52","src/normalized-ui/CashierAfterSalesWorkbench.tsx","765","异常结清事实","异常结清记录","替换","异常结清不是收款；库存与原订单记录不能删除"
"COPY-53","src/normalized-ui/CashierAfterSalesWorkbench.tsx","811","原营业日事实","原营业日记录","替换","不改变原账务日期"
"COPY-54","src/normalized-ui/CashierAfterSalesWorkbench.tsx","1052","registration.status","报名状态按业务名称显示","枚举翻译","至少覆盖待支付、成功、取消等实际合同状态"
"COPY-55","src/normalized-ui/SocialBroadcastPanel.tsx","8","平台回执","微信发送结果","简化","平台受理与发送完成仍区分，未知结果不重发"
"COPY-56","src/normalized-ui/SocialAccountPanel.tsx","11","codeDataKey","模板ID、AppID、密钥与消息字段保留在管理员接入设置","保留并分区","接入确实需要这些参数；不应塞在一线会员通知页"
"COPY-57","src/normalized-ui/PersonalContactGovernancePanel.tsx","109","item.status","联系方式管理规则状态用中文名称显示","枚举翻译","法定保留依据和期限本身不能为了简短而删除"
"COPY-58","src/normalized-ui/MemberCardManagementPanel.tsx","118","如 FAN_MUSIC","填写会员卡名称，项目编号自动生成","改交互","前端简化须同步保持唯一性与历史追溯"
"COPY-59","src/normalized-ui/staff-actions/TableObservationSheet.tsx","138","看到的事实","保留观察事实与个人判断的区分","保留","这是必要业务语义，不是多余系统词"
"COPY-60","src/normalized-ui/CustomerPublicationPanel.tsx","255","法务批准","发布材料核对放到管理员发布设置，保留必要批准与平台状态","保留并分区","不把资料齐全等同于已通过平台审核或门店验收"
