"源文件","行","函数","直接识别的API调用","状态/反馈调用","所属文件问题","证据边界"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","132","addRule","","setDraftRules((current) => [...current, draftRule])
setDraftRule((current) => ({ ...blankRule(), benefitDefinitionId: current.benefitDefinitionId }))
setNotice('规则已加入草稿；保存后还需要独立审批和发布。')
setNotice(error instanceof Error ? error.message : '规则格式不正确')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","141","saveDraft","api.postEndpoint('/api/staff/loyalty/annual-benefit-policies', { policyCode: policyCode.trim(), timezone: 'Asia/Shanghai', reason: reason.trim(), rules: draftRules, }, { idempotencyKey: `annual-benefit-draft-${crypto.randomUUID()}` })","setNotice('请填写有效政策编号、起草说明，并至少加入一条完整规则。')
setBusy('draft')
setNotice('')
setDraftRules([])
setReason('')
setNotice('年度礼遇草稿已保存，审批人与发布人必须分别独立。')
setNotice(error instanceof Error ? error.message : '年度礼遇草稿未保存')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","156","approve","api.postEndpoint(`/api/staff/loyalty/annual-benefit-policies/${policy.id}/approve`, { reason: approvalReason }, { idempotencyKey: `annual-benefit-approve-${crypto.randomUUID()}` })","setNotice('审批说明不足，未审批。')
setBusy(`approve-${policy.id}`)
setNotice('')
setNotice('年度礼遇草稿已完成独立审批，仍未向顾客生效。')
setNotice(error instanceof Error ? error.message : '年度礼遇审批未完成')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","166","publish","api.postEndpoint(`/api/staff/loyalty/annual-benefit-policies/${policy.id}/publish`, { effectiveFrom: new Date(effectiveFrom).toISOString(), effectiveUntil: null, reason: publicationReason, }, { idempotencyKey: `annual-benefit-publish-${crypto.randomUUID()}` })","setNotice('必须填写未来生效时间和发布说明，未发布。')
setBusy(`publish-${policy.id}`)
setNotice('')
setNotice('年度礼遇已排期发布；未来礼遇只展示预览，进入实际窗口才可能生成权益。')
setNotice(error instanceof Error ? error.message : '年度礼遇未发布')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","181","confirmOccurrence","api.postEndpoint('/api/staff/loyalty/annual-benefit-occurrences', { ...occurrence, cycleYear: Number(occurrence.cycleYear), confirmationReference: occurrence.confirmationReference.trim(), }, { idempotencyKey: `annual-benefit-occurrence-${crypto.randomUUID()}` })","setNotice('请填写节日规则、同一年内的日期和确认依据。')
setBusy('occurrence')
setNotice('')
setNotice('节日日期已确认；顾客端只会基于该确认结果展示对应窗口。')
setNotice(error instanceof Error ? error.message : '节日日期未确认')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","197","redeemDailySnack","api.postEndpoint(`/api/staff/annual-daily-snack-claims/${encodeURIComponent(claim.claimCode)}/redeem`, {}, { idempotencyKey: `annual-daily-snack-redeem-${crypto.randomUUID()}`, })","setBusy(`daily-snack-${claim.id}`)
setNotice('')
setNotice('每日点心已核销；请在后厨任务或打印回执中确认实际出品。')
setNotice(error instanceof Error ? error.message : '每日点心未核销')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","210","redeemAnnualGift","api.postEndpoint(`/api/benefit-reservations/${reservation.reservationId}/redeem`, { benefitId:reservation.benefitId,customerId:reservation.customerId,tableSessionId:reservation.tableSessionId, selectedProductId:product.productId,substitutionReason:reason, }, { idempotencyKey:`annual-gift-redeem-${crypto.randomUUID()}` })","setNotice('请选择这项礼遇已发布的原商品或合规替代品。')
setNotice('使用替代品必须填写至少2个字的替换原因。')
setBusy(`annual-gift-${reservation.reservationId}`)
setNotice('')
setNotice('礼遇已核销并进入“待出品”；只有制作送达完成后才会显示“已完成”。')
setNotice(error instanceof Error ? error.message : '年度礼遇未完成核销')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","234","cancelAnnualGift","api.postEndpoint(`/api/staff/annual-benefit-reservations/${reservation.reservationId}/cancel`,{ customerId:reservation.customerId,tableSessionId:reservation.tableSessionId,reason:cancelReason, },{idempotencyKey:`annual-gift-cancel-${crypto.randomUUID()}`})","setNotice('必须填写取消原因，礼遇暂留未释放。')
setBusy(`annual-gift-cancel-${reservation.reservationId}`)
setNotice('')
setNotice('生日或节日礼遇暂留已取消并释放；顾客端会更新状态。')
setNotice(error instanceof Error?error.message:'年度礼遇暂留未取消')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","248","cancelDailySnack","api.postEndpoint(`/api/staff/annual-daily-snack-claims/${encodeURIComponent(claim.claimCode)}/cancel`, { reason }, { idempotencyKey: `annual-daily-snack-cancel-${crypto.randomUUID()}`, })","setNotice(`取消原因至少2字，当前${reason.length}字，还差${2-reason.length}字；暂留尚未释放。`)
setBusy(`daily-snack-cancel-${claim.id}`)
setNotice('')
setNotice('每日点心暂留已取消并释放；顾客端会更新为“已取消”。')
setNotice(error instanceof Error ? error.message : '每日点心暂留未取消')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","263","retryComplimentaryFulfillment","api.postEndpoint(`/api/staff/complimentary-fulfillment-exceptions/${item.id}/retry`,{ reason:retryReason, },{ idempotencyKey:`complimentary-fulfillment-retry-${crypto.randomUUID()}` })","setNotice('必须填写复核原因，未重新派发。')
setBusy(`fulfillment-retry-${item.id}`)
setNotice('')
setNotice('已记录当前员工和复核原因，系统将可靠重试出品与打印任务。')
setNotice(error instanceof Error?error.message:'礼遇履约未能重新派发')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","278","resolveComplimentaryCancellation","api.postEndpoint(`/api/staff/complimentary-fulfillment-exceptions/${item.id}/resolve`,{ action:'cancel_release',reason, },{ idempotencyKey:`complimentary-fulfillment-cancel-${crypto.randomUUID()}` })","setNotice('必须填写核对原因，未取消礼遇出品。')
setBusy(`fulfillment-cancel-${item.id}`)
setNotice('')
setNotice('礼遇异常已取消结案；系统订单、库存预留和制作容量已在同一事务释放。')
setNotice(error instanceof Error?error.message:'礼遇异常未能取消结案')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","294","resolveComplimentaryCompensation","api.postEndpoint(`/api/staff/complimentary-fulfillment-exceptions/${item.id}/resolve`,{ action:'external_compensation',reason,compensationReference, },{ idempotencyKey:`complimentary-fulfillment-compensate-${crypto.randomUUID()}` })","setNotice('必须填写可追溯的补偿凭证，未结案。')
setNotice('必须填写补偿说明，未结案。')
setBusy(`fulfillment-compensate-${item.id}`)
setNotice('')
setNotice('线下补偿已凭证化结案；原系统订单及预留已释放，顾客礼遇更新为已完成。')
setNotice(error instanceof Error?error.message:'线下补偿未能结案')
setBusy('')","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/BottleCustodyPanel.tsx","32","perform","","setBusy(true)
setMessage('')
setMessage(error instanceof Error?error.message:'操作结果未确认，请刷新核对')
setBusy(false)","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/BottleCustodyPanel.tsx","33","config","api.getEndpoint<{data:{policy:Policy;version:number;categories:Category[];accounts:{id:string;name:string}[]}}>(`${path}/policy`)","setPolicy(result.policy)
setVersion(result.version)
setCategories(result.categories)
setAccounts(result.accounts)","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/BottleCustodyPanel.tsx","34","list","api.getEndpoint<{data:{items:Order[];nextCursor:string|null;summary:{count:string;stored:string;collected:string;archived:string;categoryCounts:{name:string;count:string}[]}}}>(`${path}?${params}`)","setOrders(previous=>more?[...previous,...result.items]:result.items)
setCursor(result.nextCursor)
setSummary(result.summary)","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
