"TC编号","优先级","状态","工程覆盖度","责任人","执行场景","通过条件","必须提交的证据"
"INC-016","P1","未执行","部分实现","李艳、护古、陈方宇","供应商未送货或关键原料临时短缺","冷言志/申良良盘点，李艳批量停售/限量并配置替代品；已下单客户逐桌处理，不允许负库存硬出单","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-017","P1","未执行","部分实现","李艳、护古、陈方宇","暴雨、台风、交通中断导致预约或演出大面积取消","批量变更必须逐条保留订金、退款和通知结果；歌手排班、候补和人员班次同步调整","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-018","P0","未执行","能力缺口","李艳、护古、陈方宇","公安、消防、市场监管或支付机构现场检查","李艳/护古统一接待，乌鸦提供只读审计和合规资料；不得临时删改记录或暴露无关客户数据","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-019","P0","未执行","部分实现","李艳、护古、陈方宇","摄像头、人脸或视觉分析误识别客户","不以识别结果直接拒客、扣费或公开身份；员工现场核实，记录误判并按同意/隐私规则停用相关数据","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-020","P1","未执行","部分实现","李艳、护古、陈方宇","客人表示将去公开平台投诉","先解决事实和安全问题，建立投诉闭环并告知真实进度；不得以赠品换取删评或阻止合法评价","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"SEC-014","P1","阻塞","外部依赖","乌鸦、李艳","备份恢复到隔离环境","数据、审计、配置版本和业务关联可恢复；恢复过程不连接真实支付或发真实通知","旧Cloud SQL恢复证据不适用于当前阿里云RDS；需从阿里云备份恢复到隔离实例并核对审计、版本和关联完整性"
"PKC-004","P0","阻塞","外部依赖","乌鸦、李艳、护古","支付高峰同时出现回调、查单、POS报送和退款","账本不超付/不重复；数据库连接和队列稳定；支付未知有负责人，不能靠重试制造重复","需星驿/微信生产商户参数、真实小额流水及高峰回调/查单/退款记录"
"PKC-007","P0","未执行","代码支持/待现场验证","乌鸦、李艳、护古","主数据库/应用短时中断","阻止资金盲写，启用纸单/POS应急编号；恢复后按原业务ID补录/对账，不重复订单支付","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PKC-009","P1","未执行","代码支持/待现场验证","乌鸦、李艳、护古","跨零点日结、库存盘点、备份","营业日一致；支付、退款、POS、现金、权益、存酒和库存差异逐笔核对；备份校验可验证","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PKC-010","P0","未执行","云端数据库待复测","乌鸦、李艳、护古","灾难恢复演练及发布回退","在隔离环境恢复最近备份、验证关键对象与审计；版本回退不回滚已发生资金和经营事实","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
