"TC编号","优先级","状态","工程覆盖度","责任人","执行场景","通过条件","必须提交的证据"
"PER-011","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Jerry营业中突发离岗","未完成任务按优先级转Tyke或李艳；已接单、已到桌和未完成原因全部保留","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-012","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Tyke已在候补任务中，又出现第二个区域超时","系统识别候补繁忙，升级李艳分配Tom/Jerry；不能把同一人同时显示为已到两个远端桌","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-013","P1","未执行","代码支持/待现场验证","李艳、乌鸦","Tom与Jerry互换责任区","新任务按新配置派发；旧任务仍由原负责人完成或显式转交；换区时间和批准人可追溯","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-014","P1","未执行","代码支持/待现场验证","李艳、乌鸦","服务员与门迎临时互换","李艳发布轮岗，门迎任务转给具备门迎技能的Tom/Jerry/Tyke；桌区必须仍有候补","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-015","P1","未执行","代码支持/待现场验证","李艳、乌鸦","李艳临时兼门迎时收到经理投诉","门迎由Tyke接替，李艳处理投诉；系统不得让低权限服务员独立关闭经理投诉","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-016","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志被安排门迎","系统/排班规则拒绝或提示技能不匹配；改派李艳/Tom/Jerry/Tyke，并留下修正记录","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-017","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志请假，吧台无主调酒师","酒水商品暂停销售或配置合格替岗人；不能让无调酒技能员工点击制作完成","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-018","P1","未执行","代码支持/待现场验证","李艳、乌鸦","冷言志在吧台高峰，现场投诉需要副店长","李艳或护古接管投诉；冷言志继续保证吧台，不因管理兼职导致出品无人负责","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-019","P1","未执行","代码支持/待现场验证","李艳、乌鸦","申良良请假或中途离岗","相关后厨SKU停售/售罄或由已配置合格替岗人接管；已下单项逐桌解释、取消/退款或改品","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-020","P1","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","三沐请假，收银岗位空缺","李艳指定有收款权限的临时收银；退款仍保持申请/审批分离；临时授权到期自动失效","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-021","P0","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","三沐发起退款后临时获得经理角色并尝试自批","同一actor仍不得批准本人申请；必须由李艳/护古按额度审批","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-022","P1","未执行","代码支持/待现场验证","李艳、乌鸦","付淳羽请假或歌手接待负责人离岗","点歌入口进入人工确认/暂停状态；李艳接管现有请求，顾客看到真实状态而非假完成","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-023","P1","未执行","代码支持/待现场验证","李艳、乌鸦","阿金请假，演出音响灯光无人负责","演出前发布替岗/简化方案；无法保证时暂停点歌与演出，不允许系统显示“正常演出”","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-025","P1","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","两名员工同时点击接同一任务","只允许一个领取成功；另一人收到明确“已由谁接单”，不生成重复到桌/完成记录","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-026","P1","未执行","直接自动化证据","李艳、乌鸦","负责人离线，任务已自动转候补后原负责人恢复","原负责人看到已转交，不得继续完成；需要接回时由经理显式重新分配","presence.test.ts：主责离线后任务重新打开并进入责任链，恢复登录不会自动夺回任务"
"PER-027","P1","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","临时授权赠送/折扣/收款，跨零点仍登录","授权按北京时间和营业日到期；过期后的按钮/接口均拒绝，之前记录不受影响","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-028","P0","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","修改员工姓名、岗位或归属后查询历史","历史保留稳定员工ID和当时岗位快照；当前姓名可更新但不能改写当时权限事实","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-029","P1","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","共享平板有离线服务动作，员工切换账号","离线动作仍归原员工；同步完成后才允许安全切换，不能把队列动作记到新员工名下","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-030","P1","未执行","历史通过/待本版逐条追溯","李艳、乌鸦","02:00后继续营业并换班","营业日与自然日分离；所有事件用北京时间；交班列出开放桌、任务、支付、退款和库存异常","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"GST-001","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人手机正常预约、门店确认、到店入座","预约阶段只登记接待名额、人数和位置偏好，不绑定具体桌位；到店后由门迎安排桌位并绑定唯一桌次，保留来源、责任门迎和时间线","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-002","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","未登录访客预约","建立匿名客户ID和联系方式引用；后续绑定微信账号时合并到同一客户，不丢行为历史","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-003","P0","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","连续点击预约提交或重复支付订金","只生成一条预约和一笔订金；相同幂等键返回同一结果","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-004","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","修改预约时间、人数、场景或备注","保留修改前后值和规则影响；实际人数超过建议容量时明确显示并记录加座人数，不静默处理","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-005","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","顾客主动取消无订金预约","状态取消、释放该时段接待名额、记录原因；不得虚构或释放具体桌位，不得删除历史","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-006","P0","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","有订金预约取消","进入待退款而非已退款；只有渠道成功后显示退款完成","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-007","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","顾客准时到店","门迎核验预约后现场安排具体桌位并开台；预约、客户、桌台和桌次形成可追溯关联，预约阶段不存在预绑桌","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-008","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","提前45分钟到店","记录实际到店；门迎按现场桌况安排候客或可用桌位，不能把位置偏好解释为已锁定桌位；换位时桌次迁移可追溯","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-009","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","已确认预约到达约定时间但客人尚未到店","客户端从约定时间开始显示10分钟“预约到店保留”倒计时；此前及待确认阶段不显示倒计时；联系和预计到店留痕但不虚报到店或具体桌位","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-010","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","已确认预约超过到店时间10分钟后才到店","预约自动标记no-show并释放接待名额，不操作任何现场桌位；重新评估接待或进入候补，订金按已发布规则处理并说明","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-011","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","爽约且门店联系无响应","到店时间加10分钟后标记no-show；接待名额、审计事件、通知Outbox、联系记录及订金处置均留痕，不生成虚假桌位释放记录","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-012","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","无预约散客且有空桌","创建walk-in客户和桌次，选择桌号、人数、主责与候补；不要求客户先确认开台","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-013","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","无预约散客，满台","进入结构化候补，记录人数、偏好、最晚等待和联系方式；不能用自由备注代替","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-014","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","多组候补与容量不同","按到店顺序和容量匹配；跳号必须有规则理由；同一桌不能同时锁给两组","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-015","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","呼叫候补无响应","记录联系次数和到期时间，再递补下一组；原客回店按已发布规则回队","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-016","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","预约6人实际8人","优先重新匹配大桌；现场确认加座时允许原桌入座，并记录建议容量、实际人数、加座数及低消/订金差异","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-017","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","预约8人实际4人","更新人数；低消或订金规则变化需客人确认和经理记录，不私下改账","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-018","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","客人带婴儿车、轮椅或行动不便","门迎记录服务偏好并安排安全位置；只保留必要信息，不记录歧视性标签","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-019","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","疑似未成年人单独点酒","按法规和门店政策核验并拒绝酒精商品；拒绝原因留痕，不记录完整证件影像","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-020","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","明显醉酒、冲突或安全风险","停止继续售酒，升级李艳/护古，记录安全处置；不得用赠酒平息风险","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-021","P1","未执行","能力缺口","李艳、Tom、Jerry、Tyke","企业客户、多桌团体、统一结账","每桌独立履约，建立团体关联和统一付款人；不得混淆商品送达与资金分摊","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-022","P1","未执行","部分实现","李艳、Tom、Jerry、Tyke","生日客要求低调","生日权益可执行，但不公开称呼、唱歌或灯光；公开偏好可随时修改","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-023","P1","未执行","部分实现","李艳、Tom、Jerry、Tyke","生日客临时要求互动","现场二次确认公开范围，联动舞台、出品和服务；任何取消都释放未核销权益","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"GST-024","P1","未执行","直接自动化证据","李艳、Tom、Jerry、Tyke","入桌后15分钟尚未点单","服务员点击“未点单”，AI在规则时间提醒主责关注；员工到桌询问但不强迫消费","proactive-service.test.ts：员工显式标记后按配置时间生成一次主动关怀任务，下单后自动关闭"
"GST-026","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人自扫固定桌码进入","固定二维码识别当前桌台；未开台时明确提示联系服务人员开台并每8秒自动刷新，开台后直接进入菜单；客户不需要知道动态token，也不被要求重复扫码","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-027","P0","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","翻台后旧客保留旧页面继续操作","旧会话不能向新桌次下单/呼叫；提示重新扫码；不得看到新客订单和服务信息","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-028","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","新桌开台不要求客人确认","员工开台后立即可服务/点单；记录开台员工、人数、主责和北京时间","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-029","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","同桌多人分别扫码","进入同一桌账但保留不同匿名客户ID/微信ID；个人偏好与整桌订单不混淆","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-030","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","顾客中途整桌换台","原桌变更、订单、支付、任务、权益和点歌整体迁移到同一桌次；旧桌码不能继续写入","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-031","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","部分客人拆到另一桌","创建关联桌次并明确迁移哪些人/商品/未付金额；不能用整桌换位误处理","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-032","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","两桌合并","先核对未付账、权益和任务，再建立合并关系；原业务对象ID可追溯且不重复计费","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-033","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人换回原桌或连续换两次","形成完整迁移链；任何时点只有一个有效所在桌，历史桌不接受新写入","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-034","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人临时离店后返回","桌次保持或按经理规则暂停；保留物品/存酒提示和预计返回时间，不误翻台","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-035","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人要求先买单但继续坐","支付完成不自动关闭桌次；服务责任继续，直到明确离店和清台后翻台","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-036","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人离店但有未完成需求/投诉","不得直接清空；先升级并形成解决/交班记录，客户页面消息随真实完成状态消失","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-037","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","正常离店、结桌、清台、翻台","余额为0、履约和投诉关闭后结桌；本桌客户可见状态清空，匿名行为进入分析留存","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-038","P0","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","翻台清理客户数据","清除前桌实时订单、提示、情绪和服务状态；未响应需求转历史分析，不泄露给下一桌","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-039","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","同一客人再次到店","在授权范围内识别历史偏好、过敏、常点商品、服务频次和情绪趋势；员工只见服务所需摘要","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"SVC-001","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人点击加水","客户立即看到有人情味的已收到反馈；主责接单、到桌、完成后提示自动消失","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-002","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人点击柠檬、纸巾、餐具等可配置服务","按配置创建正确任务和SLA，不需要发版；任务显示桌号、内容和主/候补人员","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-003","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人点击呼叫服务员","立即分配主责；主责繁忙/离线则候补接管；客户可见已受理而非虚假已完成","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-004","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人提交个性化说明","单独提交按钮生效；说明形成独立任务，不依赖购物车下单；员工端完整可见","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-005","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","每分钟第1至5次服务请求","允许不同合理需求，分别反馈并可合并派发；不因前一条存在而吞掉后续不同需求","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-006","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","每分钟第6次及以上连续点击","友好提示“已经记下，正在安排”；限制重复提交但保留安全/投诉入口，记录限流事件","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-007","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人重复点击同一需求","按窗口合并/关联，不生成多个员工重复到桌；客户能看见当前处理状态","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-008","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","主责30秒未接、60秒超时、120秒仍未处理","按规则依次通知候补、李艳、护古；每次升级有时间、接收人和原因","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-009","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","员工点击已接单但未到桌","客户只看到正在安排；系统继续计算到桌SLA，不把接单当完成","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-010","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","员工点击已到桌但客人问题未解决","保持处理中；必须记录实际解决结果后才能完成，不能用“完成”隐藏未解决任务","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-011","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","员工完成后客人再次表示未解决","客人重新呼叫或投诉时关联原任务，保留第一次处理责任和耗时，不覆盖旧记录","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-012","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人提交服务慢投诉","直接升级副店长/店长；普通服务员不能独立关闭；补救、完成权限、处理结果和时间留痕","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-013","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人投诉错品、价格、态度或噪音","按投诉类型路由责任岗位；需要账务补救时关联原订单/支付，不能只写备注","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-014","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人投诉系统或支付问题","三沐、李艳和乌鸦协同；支付未知时冻结再次付款，向客人给出真实进度","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-017","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客人由开心改为安静","最新状态立即更新给主责，停止不合适互动建议；保留变化时间供服务质量分析","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-018","P1","未执行","直接自动化证据","李艳、Tom、Jerry、Tyke","AI 15分钟、30分钟提醒","仅创建具体建议，不自动声称服务完成；员工可执行、延后或说明不适用，均留痕","sop-engine.test.ts：事件触发、多步骤计时、前一步完成依赖、停止条件、品类筛选、岗位派单、转桌跟随及幂等回归"
"SVC-019","P1","未执行","代码支持/待现场验证","李艳、Tom、Jerry、Tyke","摄像头/AI建议与现场事实冲突","员工以现场核实为准并反馈误判；不得自动扣库存、收费、识别人脸或公开客户身份","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SVC-020","P1","未执行","历史通过/待本版逐条追溯","李艳、Tom、Jerry、Tyke","客诉当场解决后客户离店","任务关闭、客户端提示消失、补偿与责任完整；后续分析保留脱敏结果，不向下一桌展示","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"ORD-001","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","客户扫码全屏菜单浏览、加购物车","商品图片、名称、售价、售罄和可选项清楚；购物车数量与左下金额合并显示","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-002","P1","未执行","直接自动化证据","冷言志、申良良、Tom、Jerry、Tyke","服务员平板协助点单","与客户菜单同风格；服务员选择桌号、核对明细后下单；操作者和客户来源可区分","normalized browser及commerce-kds-api测试：已开台桌次锁定、商品搜索、员工协助下单、库存消耗和KDS创建完整回归"
"ORD-003","P0","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","服务员选择错误桌号","确认页突出桌号；提交前可改；提交后必须走结构化转桌/撤单，不能改审计","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-004","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","同一商品多规格、加料、备注和数量","价格实时重算，订单保存完整选项快照，KDS看到制作所需信息","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-005","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","过敏、忌口或无酒精要求","客户/员工可录入；高风险项明确确认并传到对应档口，不只留在前台备注","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-006","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","商品售罄后客户仍停留在旧菜单","服务端拒绝提交并刷新状态；不扣款、不生成制作任务，提供可配置替代品","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-007","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","下单瞬间管理员改价","已提交订单保留原价格快照；未提交购物车刷新后提示价格变化并重新确认","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-008","P0","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","客户或员工重复点击确认下单","只生成一个订单；相同幂等键返回同一orderId，不重复扣库存或发KDS","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-009","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","已下单后追加商品","生成关联追加单/订单批次；桌账合并展示，原订单不被覆盖","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-010","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","未开始制作前取消商品","按规则取消并释放预占库存；如已付款则进入退款流程，不直接修改支付成功金额","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-011","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","已开始制作后要求取消","进入经理确认，明确是否仍收费、作废或补偿；KDS、库存和桌账结果一致","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-012","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","酒水、冷菜、热厨同单","自动拆到正确档口；前台仍显示一个订单和各品项状态","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-013","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","冷言志收到吧台酒水","只能看到吧台所需信息；点击开始、完成；完成后自动呼叫服务员/取送人员","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-014","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","申良良收到冷菜与热厨任务","按档口和SLA排序；缺料可报缺货/暂停，不能伪造已制作","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-015","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","商品5分钟未出或超过配置SLA","AI/系统提醒档口和经理；阈值可后台配置，记录当时规则版本","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-016","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","制作完成后Tyke忙碌","先通知主责/候补/可取送员工，李艳可补位；不能将“已制作”自动标“已送达”","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-017","P1","未执行","直接自动化证据","冷言志、申良良、Tom、Jerry、Tyke","取错品、送错桌或少送","通过桌号/品项核对拦截；发生后关联原订单补做或退款，不删除错误记录","order-domain及kds-exception-api测试：错品关联原KDS生成唯一补做任务，原记录不删除"
